"Comment","Designator","Footprint","JLCPCB Part #"
"10u ","C1, C3, C4, C5, C7, C8, C9, C10, C202, C208, C303, C306","C0603_1608Metric",""
"100n ","C2, C6, C201, C203, C204, C205, C206, C207, C213, C214, C215, C301, C302, C304, C305","C0402_1005Metric",""
"3p3 ","C209, C210","C0402_1005Metric",""
"10p ","C211, C212","C0402_1005Metric",""
"CHR_LED ","D1","LED_0603_1608Metric",""
"SS14 ","D2","D_SMA",""
"WIFI_LED ","D201","LED_0603_1608Metric",""
"PLAYING_LED ","D202","LED_0603_1608Metric",""
"MAX98357AETE+T ","IC301, IC302","TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm_ThermalVias",""
"USB-TYPE-C-018 ","J1","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",""
"BAT_CON ","J2","SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm",""
"WIFI_ANT ","J201","SMA_Amphenol_901-143_Horizontal",""
"L_SPKR ","J301","TerminalBlock_bornier-2_P5.08mm",""
"R_SPKR ","J302","TerminalBlock_bornier-2_P5.08mm",""
"2u2 ","L1","L_0805_2012Metric",""
"4u7 ","L2","L_1008_2520Metric",""
"2n2 ","L201, L202","L_0402_1005Metric",""
"DMP1045U-7 ","Q1","SOT96P240X120-3N",""
"5k1 ","R1, R2, R203, R206","R0402_1005Metric",""
"2k ","R3, R4","R0402_1005Metric",""
"100k ","R5","R0402_1005Metric",""
"100 ","R6, R7, R10, R202","R0402_1005Metric",""
"1M ","R8","R0402_1005Metric",""
"200k ","R9","R0402_1005Metric",""
"10k ","R201, R204, R205","R0402_1005Metric",""
"360k ","R301","R0402_1005Metric",""
"BOOT_SEL ","SW201","SW_SPST_SKQG_WithoutStem",""
"USBLC6-2SC6 ","U1","SOT-23-6",""
"XC9141 ","U4","SOT95P280X130-5N",""
"TPS63000 ","U8","Texas_DRC0010J_ThermalVias",""
"LP4054H ","U101","SOT-23-5",""
"ESP32C3 ","U201","HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias",""
"W25Q32JVSS ","U202","SOIC-8_5.23x5.23mm_P1.27mm",""
"~ ","VR1","Potentiometer_Alps_RK0971111Z1P",""
"40MHz ","Y201","Crystal_SMD_3225-4Pin_3.2x2.5mm",""
