Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,132.800000,-96.126632,180.000000,top
C2,100n,C_0402_1005Metric,138.300000,-115.595000,90.000000,top
C3,10u,C_0603_1608Metric,140.125000,-96.245000,0.000000,top
C4,10u,C_0603_1608Metric,136.225000,-99.895000,0.000000,top
C5,10u,C_0603_1608Metric,140.575000,-100.495000,180.000000,top
C6,100n,C_0402_1005Metric,136.925000,-103.945000,180.000000,top
C7,10u,C_0603_1608Metric,142.325000,-106.195000,0.000000,top
C8,10u,C_0603_1608Metric,142.325000,-107.845000,0.000000,top
C9,10u,C_0603_1608Metric,133.175000,-104.995000,0.000000,top
C10,10u,C_0603_1608Metric,133.350000,-111.045000,0.000000,top
C201,100n,C_0402_1005Metric,139.955000,-115.120000,180.000000,top
C202,10u,C_0603_1608Metric,140.775000,-110.745000,180.000000,top
C203,100n,C_0402_1005Metric,141.075000,-112.045000,180.000000,top
C204,100n,C_0402_1005Metric,143.825000,-113.595000,90.000000,top
C205,100n,C_0402_1005Metric,139.500000,-122.395000,180.000000,top
C206,100n,C_0402_1005Metric,135.520000,-118.300000,180.000000,top
C207,100n,C_0402_1005Metric,146.200000,-116.100000,0.000000,top
C208,10u,C_0603_1608Metric,144.000000,-110.745000,0.000000,top
C209,3p3,C_0402_1005Metric,147.752495,-114.552495,-45.000000,top
C210,3p3,C_0402_1005Metric,150.247505,-112.124282,-45.000000,top
C211,10p,C_0402_1005Metric,152.600589,-115.679411,45.000000,top
C212,10p,C_0402_1005Metric,152.700000,-119.800000,-45.000000,top
C213,100n,C_0402_1005Metric,139.375000,-128.445000,-90.000000,top
C214,100n,C_0402_1005Metric,148.950000,-109.350000,0.000000,top
C215,100n,C_0402_1005Metric,146.200000,-117.245000,0.000000,top
C301,100n,C_0402_1005Metric,120.950000,-112.685000,90.000000,top
C302,100n,C_0402_1005Metric,122.025000,-112.680000,90.000000,top
C303,10u,C_0603_1608Metric,126.425000,-111.820000,-90.000000,top
C304,100n,C_0402_1005Metric,122.049999,-121.500000,90.000000,top
C305,100n,C_0402_1005Metric,120.950000,-121.500000,90.000000,top
C306,10u,C_0603_1608Metric,126.425000,-121.795000,-90.000000,top
D1,CHR_LED,LED_0603_1608Metric,128.625000,-92.545000,180.000000,top
D2,SS14,D_SMA,132.625000,-100.545000,90.000000,top
D201,WIFI_LED,LED_0603_1608Metric,146.550000,-111.495000,-90.000000,top
D202,PLAYING_LED,LED_0603_1608Metric,132.400000,-120.900000,0.000000,top
IC301,MAX98357AETE+T,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm_ThermalVias,121.975000,-115.910000,180.000000,top
IC302,MAX98357AETE+T,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm_ThermalVias,121.975000,-124.725000,180.000000,top
J1,USB-TYPE-C-018,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,111.700000,-101.045000,-90.000000,top
J201,WIFI_ANT,SMA_Amphenol_901-143_Horizontal,163.500000,-112.640000,-90.000000,top
J301,L_SPKR,TerminalBlock_bornier-2_P5.08mm,112.550000,-118.485000,90.000000,top
J302,R_SPKR,TerminalBlock_bornier-2_P5.08mm,112.550000,-129.610000,90.000000,top
L1,2u2,L_0805_2012Metric,143.225000,-103.295000,90.000000,top
L2,4u7,L_1008_2520Metric,130.225000,-108.020000,-90.000000,top
L201,2n2,L_0402_1005Metric,142.675000,-113.595000,-90.000000,top
L202,2n2,L_0402_1005Metric,148.708094,-112.984871,45.000000,top
Q1,DMP1045U-7,SOT96P240X120-3N,136.475000,-97.245000,0.000000,top
R1,5k1,R_0402_1005Metric,113.200000,-95.000000,0.000000,top
R2,5k1,R_0402_1005Metric,113.400000,-107.000000,0.000000,top
R3,2k,R_0402_1005Metric,128.345000,-91.145000,0.000000,top
R4,2k,R_0402_1005Metric,134.094223,-91.236452,0.000000,top
R5,100k,R_0402_1005Metric,135.225000,-94.255000,90.000000,top
R6,100,R_0402_1005Metric,136.925000,-102.845000,180.000000,top
R7,100,R_0402_1005Metric,135.300000,-103.800000,90.000000,top
R8,1M,R_0402_1005Metric,139.725000,-105.945000,0.000000,top
R9,200k,R_0402_1005Metric,137.675000,-105.945000,0.000000,top
R10,100,R_0402_1005Metric,135.975000,-109.195000,90.000000,top
R201,10k,R_0402_1005Metric,140.425000,-113.595000,-90.000000,top
R202,100,R_0402_1005Metric,151.125589,-117.110035,45.000000,top
R203,5k1,R_0402_1005Metric,146.050000,-109.345000,0.000000,top
R204,10k,R_0402_1005Metric,141.550000,-113.605000,90.000000,top
R205,10k,R_0402_1005Metric,136.000000,-120.300000,180.000000,top
R206,5k1,R_0402_1005Metric,129.800000,-121.200000,0.000000,top
R301,360k,R_0402_1005Metric,124.775000,-123.200000,-90.000000,top
SW201,BOOT_SEL,SW_SPST_SKQG_WithoutStem,133.700000,-126.300000,0.000000,top
U1,USBLC6-2SC6,SOT-23-6,122.400000,-101.550000,180.000000,top
U4,XC9141,SOT95P280X130-5N,133.525000,-108.020000,-90.000000,top
U8,TPS63000,Texas_DRC0010J_ThermalVias,139.965000,-103.315000,180.000000,top
U101,LP4054H,SOT-23-5,132.462500,-93.545000,180.000000,top
U201,ESP32C3,HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias,141.925000,-118.797500,-90.000000,top
U202,W25Q32JVSS,SOIC-8_5.23x5.23mm_P1.27mm,144.625000,-126.045000,90.000000,top
VR1,~,Potentiometer_Alps_RK0971111Z1P,157.180000,-98.774700,-90.000000,top
Y201,40MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,154.200589,-117.379411,-135.000000,top
