"Source:","/home/st/Documents/Keyboards/internet-radio-speaker/internet-radio-speaker.kicad_sch"
"Date:","Thu 08 Feb 2024 09:06:38 PM CET"
"Tool:","Eeschema 7.0.8"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","65"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Height","LCSC","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Package"
"1","8","C101, C105, C107, C202, C208, C216, C303, C307","10u","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm","~","","","","","","","","",""
"2","1","C102","DNP","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm","~","","","","","","","","",""
"3","1","C103","10n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","","","","","",""
"4","13","C104, C201, C203, C204, C205, C206, C207, C214, C215, C301, C302, C304, C305","100n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","C1525","","","","",""
"5","2","C209, C210","3p3","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","C1565","","","","",""
"6","2","C211, C212","10p","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","C32949","","","","",""
"7","1","D101","PWR_LED","Device:LED","LED_THT:LED_D3.0mm","~","","","","C72041","","","","",""
"8","1","D201","WIFI_LED","Device:LED","LED_THT:LED_D3.0mm","~","","","","C72041","","","","",""
"9","1","D202","PLAYING_LED","Device:LED","LED_THT:LED_D3.0mm","~","","","","C72038","","","","",""
"10","1","FB101","Fair-Rite 2743009112","Device:FerriteBead_Small","Inductor_THT:L_Axial_L9.5mm_D4.0mm_P15.24mm_Horizontal_Fastron_SMCC","~","","","","","","","","",""
"11","4","H101, H102, H103, H104","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_DIN965_Pad","~","","","","","","","","",""
"12","2","IC301, IC302","MAX98357AETE+T","MAX98357AETE+T:MAX98357AETE+T","Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm_ThermalVias","https://datasheets.maximintegrated.com/en/ds/MAX98357A-MAX98357B.pdf","","","0.8","C910544","Analog Devices","MAX98357AETE+T","700-MAX98357AETE+T","https://www.mouser.co.uk/ProductDetail/Analog-Devices-Maxim-Integrated/MAX98357AETE%2bT?qs=AAveGqk956HhNpoJjF5x2g%3D%3D",""
"13","1","J1","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","","","","","","","",""
"14","1","J201","WIFI_ANT","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_901-143_Horizontal"," ~","","","","C3174435","","","","",""
"15","1","J301","L_SPKR","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","","","","","","","","",""
"16","1","J302","R_SPKR","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","","","","","","","","",""
"17","2","JP301, JP305","GAIN","Jumper:Jumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","","","","","",""
"18","2","L201, L202","2n2","Device:L_Small","Inductor_SMD:L_0805_2012Metric","~","","","","C97985","","","","",""
"19","6","R1, R2, R102, R201, R203, R206","5k1","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","C25905","","","","",""
"20","1","R101","10k","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","","",""
"21","1","R202","22","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","C25744","","","","",""
